,          Burkholderiaceae,          Rhodocyclaceae,          Aquaspirillaceae,          Neisseriaceae,          Nitrosomonadaceae,          Chromobacteriaceae,          Hydrogenophilaceae,          Methylophilaceae,          Chitinibacteraceae,          Gallionellaceae,          SG8-39,          Sulfuricellaceae,          SG8-41,          Ga0077523,          Chitinimonadaceae,          Sulfuriferulaceae,          UKL13-2,          Ferrovaceae,          Palsa-1005,          Leeiaceae,          UBA6910,          UBA11063,          RBG-16-58-11,          SG8-40,          UBA3065,          2013Ark19i,          Moraxellaceae,          Pseudomonadaceae,          Halomonadaceae,          Cellvibrionaceae,          Oleiphilaceae,          Nitrincolaceae,          Alcanivoracaceae,          Halieaceae,          Saccharospirillaceae,          HTCC2089,          Porticoccaceae,          UBA7239,          Pseudohongiellaceae,          UBA5518,          Marinomonadaceae,          Ketobacteraceae,          Spongiibacteraceae,          Endozoicomonadaceae,          Litoricolaceae,          UBA7434,          UBA3067,          Zooshikellaceae,          UBA5862
          Burkholderiaceae,1.0,-0.05589201669897993,-0.07654683338005883,0.3356301802388511,-0.20911912621423426,0.23336178218250656,-0.12280939877186363,0.07842842022610706,-0.02564686254595784,0.022889338652266146,-0.4487429225506581,-0.3988545878798674,-0.31615438355745856,-0.17361701015156825,-0.4395161439313072,0.24385498418257534,-0.2368596800176423,-0.1118216092276749,,,,-0.33640475598266534,,,,,0.49771499407839837,0.3610757027170168,-0.48818254621009327,-0.595210249856117,-0.5599563725720954,-0.4596473437376449,-0.5362257328938282,-0.5308236556538617,-0.45804060734652646,-0.5329266683348232,-0.5329266683348232,0.05586665834898627,-0.500707659459335,-0.1270416091742681,-0.035638066898629944,-0.5300108801453647,-0.505001194067156,,,,,,
          Rhodocyclaceae,-0.05589201669897993,1.0,0.7543736832146247,0.4809308385625122,0.2529788611555597,0.12548236113834052,0.7865462196308013,0.29152978318067546,0.4928487663281949,0.26176669534396896,0.1817073897495227,0.5840855156525778,-0.04127125881747658,-0.03782003131471603,-0.06644306006680187,0.28376787665466585,-0.02843443749461891,0.3795258694359764,,,,-0.2653992580629395,,,,,0.3156037950293709,-0.263020005203392,-0.21583598237780133,-0.17841561209296697,-0.2597112809404794,0.0558644357886993,-0.40324286407891297,-0.3166413914358919,-0.31871145687097835,-0.3162067017733889,-0.3162067017733889,-0.17146705869885379,-0.08287398074284932,0.044419753366338265,-0.005076966074903618,-0.40130238241527044,-0.4177662933457137,,,,,,
          Aquaspirillaceae,-0.07654683338005883,0.7543736832146247,1.0,0.5917327560021675,-0.2763803708634142,0.1742526527998316,0.3817996440995082,-0.02180860007396454,0.5645405818252387,-0.1620012133304716,-0.2948875546460168,0.3427029467493844,-0.4698637642072568,-0.42098985194189276,-0.35101592178917757,0.19539711361260065,-0.5047000908608563,0.3098013299008707,,,,-0.2734737724653554,,,,,0.45705444106576976,-0.1554679128144466,-0.5030380388431698,-0.3507501891572081,-0.42595416684587223,-0.027070179647588677,-0.4624163387852064,-0.5432634558281273,-0.4100698372677064,-0.5504111257868047,-0.5504111257868047,-0.3597487227906754,-0.40546823015217087,-0.42233600766275864,0.2456542277866833,-0.4131180563818013,-0.428478424203704,,,,,,
          Neisseriaceae,0.3356301802388511,0.4809308385625122,0.5917327560021675,1.0,-0.35052744027360216,-0.04767399467774125,0.24128862809286486,0.048716253630707806,0.5956246360609089,-0.1976397976428969,-0.45753673454312416,0.016221253143550753,-0.4855334108784644,-0.4977255389239622,-0.4538265609460476,0.39588239298371036,-0.45143491653043094,-0.0435131480286552,,,,-0.45205237136677223,,,,,0.8261532527628942,-0.2783228490498045,-0.6938245724212265,-0.5039312904046215,-0.6451036536704862,-0.2995785595361736,-0.6158650914402418,-0.655703796083138,-0.5433581007493196,-0.7306327743363877,-0.7306327743363877,-0.3797463191501063,-0.5103286546912528,-0.3739083079926838,0.25667175648529844,-0.5903661897241512,-0.5722807477100814,,,,,,
          Nitrosomonadaceae,-0.20911912621423426,0.2529788611555597,-0.2763803708634142,-0.35052744027360216,1.0,-0.04173253177616415,0.4468445627138605,0.4188420943711131,-0.1348699145972484,0.5090610804426813,0.7284290119113048,0.30375676786259614,0.7922937060116655,0.5978930101882339,0.4657137771008188,-0.13004395887267725,0.5252209331845695,0.05342155151792615,,,,0.15387318883531712,,,,,-0.39765469931335695,-0.10589557016768597,0.5127599707334228,0.2669822292727492,0.34332169297947884,0.21306026676213308,0.1875439804599561,0.47783812794652747,0.2195276492901145,0.44736594103122534,0.44736594103122534,0.44131049125181343,0.5508091870393668,0.7608457910549801,-0.22772435112719458,0.12422498299087793,0.11604350635332611,,,,,,
          Chromobacteriaceae,0.23336178218250656,0.12548236113834052,0.1742526527998316,-0.04767399467774125,-0.04173253177616415,1.0,0.08637284592497242,0.06944561292949858,0.1306654507191774,0.47828371198989694,-0.11798435474952002,0.29211071721183696,-0.10590915677621458,-0.06569818671606502,0.04916969076407618,-0.0035674461611771933,-0.16825125015830236,0.014968478584853192,,,,-0.2555775060528172,,,,,0.036576562639888135,0.8455526302293258,-0.02344260569024082,-0.09903490870614025,-0.020230218625067214,0.06589595986713344,-0.15909404209309508,-0.1683162217854123,-0.12147725378847997,-0.18538641494485292,-0.18538641494485292,-0.1936699126543981,-0.12244788232465414,-0.10737817040271377,0.06275183149278066,-0.14691859075371205,-0.1602538387652083,,,,,,
          Hydrogenophilaceae,-0.12280939877186363,0.7865462196308013,0.3817996440995082,0.24128862809286486,0.4468445627138605,0.08637284592497242,1.0,0.36737373282496344,0.30762421249179095,0.42954096427441907,0.5143114696917396,0.6560519005545733,0.30403776683232675,0.2358430428547368,0.21689240014814942,0.23796668962348289,0.39089983588929456,0.11884411876373266,,,,-0.21458709393362552,,,,,-0.010779446558757344,-0.28626567875959574,0.16448536860971885,0.09427110320732748,0.07209627153806127,0.2837374540333901,-0.13335271346715943,-0.012057849222781861,-0.044645863428752194,0.026769764561410177,0.026769764561410177,0.03553742486981262,0.2943119662033538,0.27738337869883284,-0.21966035527046687,-0.1646344847569576,-0.15840214744871994,,,,,,
          Methylophilaceae,0.07842842022610706,0.29152978318067546,-0.02180860007396454,0.048716253630707806,0.4188420943711131,0.06944561292949858,0.36737373282496344,1.0,0.33888030339212066,0.4662399333343455,0.25814241904654595,0.43302964337350586,0.17306244409288193,0.1911824496270397,0.28029946282031315,0.38027412301359265,0.30507855618263413,-0.1194092973352359,,,,-0.0176772230419977,,,,,0.060497462796424255,-0.11484009246140207,0.1474156372096043,0.1633124555342079,0.06598376884637683,0.35965687094806287,-0.037515686564907676,-0.014471875979451343,0.1353674894031573,0.07631250278059924,0.07631250278059924,0.12728102739420402,0.23078485156257114,0.3789269878881481,0.23054179868552288,-0.0791156496080054,-0.09461569460949239,,,,,,
          Chitinibacteraceae,-0.02564686254595784,0.4928487663281949,0.5645405818252387,0.5956246360609089,-0.1348699145972484,0.1306654507191774,0.30762421249179095,0.33888030339212066,1.0,0.06791860727778568,-0.27091837543793434,0.30512292578644296,-0.3776593707971055,-0.2957471379460194,-0.2577515232406304,0.42282309290717446,-0.2459716566409548,-0.13656402515682678,,,,-0.31234986326977293,,,,,0.5039662365407857,-0.1800731531950031,-0.4592050687259734,-0.11671976442383396,-0.34083606806260425,0.13171575362821394,-0.38727631860167766,-0.45276209104362325,-0.28413969313504817,-0.5705606535355632,-0.5705606535355632,-0.1015068983659082,-0.17432899770567045,-0.14726407833578706,0.532969515373644,-0.39646826231256305,-0.3516108121126494,,,,,,
          Gallionellaceae,0.022889338652266146,0.26176669534396896,-0.1620012133304716,-0.1976397976428969,0.5090610804426813,0.47828371198989694,0.42954096427441907,0.4662399333343455,0.06791860727778568,1.0,0.43262958022186476,0.4355788814600861,0.32369364323515415,0.34548992886500307,0.4292421251629331,0.1104120813332087,0.4579435364585118,0.008340079248797337,,,,-0.10132528558893143,,,,,-0.220167154767799,0.3301176233620052,0.3572860119532782,0.29273510784245294,0.26818101375509973,0.28703043119456007,0.09550478982696664,0.24617265712164235,0.17593206752814455,0.22239520214104413,0.22239520214104413,0.16681326738983313,0.33331311963549703,0.5268757019876226,-0.10663627240599569,0.056366446033151774,-0.00043435742444616893,,,,,,
          SG8-39,-0.4487429225506581,0.1817073897495227,-0.2948875546460168,-0.45753673454312416,0.7284290119113048,-0.11798435474952002,0.5143114696917396,0.25814241904654595,-0.27091837543793434,0.43262958022186476,1.0,0.4687423787538993,0.8177624488941383,0.7503336168258611,0.7006098560468774,-0.254363896700157,0.7499455621763942,-0.006081245987606399,,,,0.24598507062349292,,,,,-0.6347510926092699,-0.23388928663318848,0.8182183300194914,0.5259907978848934,0.6480184247455112,0.4330653456419868,0.5168062339230086,0.6792747760513518,0.5014425464378829,0.7237413472560574,0.7237413472560574,0.20349253372916407,0.7210340447230928,0.6143855930920996,-0.45080064332695136,0.45374768131288623,0.4669209816377398,,,,,,
          Sulfuricellaceae,-0.3988545878798674,0.5840855156525778,0.3427029467493844,0.016221253143550753,0.30375676786259614,0.29211071721183696,0.6560519005545733,0.43302964337350586,0.30512292578644296,0.4355788814600861,0.4687423787538993,1.0,0.15756681199271852,0.26729697935840724,0.45899717271521845,0.07057710064299721,0.39139856385610367,0.03361344544241673,,,,-0.02478382296063022,,,,,-0.224121065192959,-0.11928089818075725,0.37141241717924417,0.4057500738447724,0.3582123284147248,0.4279950909942763,0.15955216447288592,0.12673729758571783,0.15260740347271864,0.21241464975395366,0.21241464975395366,-0.20363511743365578,0.3482960585144752,0.16757346737858927,0.032184344071421754,0.12662157575662758,0.1548571588830771,,,,,,
          SG8-41,-0.31615438355745856,-0.04127125881747658,-0.4698637642072568,-0.4855334108784644,0.7922937060116655,-0.10590915677621458,0.30403776683232675,0.17306244409288193,-0.3776593707971055,0.32369364323515415,0.8177624488941383,0.15756681199271852,1.0,0.6579225439725276,0.5151677625092664,-0.3834448110729098,0.5827040054846174,-0.08876734964398665,,,,0.22326155304148165,,,,,-0.5792751120296129,-0.10698166185954561,0.698377392869054,0.380675100389259,0.5512922066092597,0.2849907053762358,0.4194360466590343,0.684540232450753,0.4490609965129874,0.6980325342904569,0.6980325342904569,0.2410114138883315,0.5898454444706567,0.6096378049331279,-0.4335189255429002,0.36593332289080344,0.35196828432174393,,,,,,
          Ga0077523,-0.17361701015156825,-0.03782003131471603,-0.42098985194189276,-0.4977255389239622,0.5978930101882339,-0.06569818671606502,0.2358430428547368,0.1911824496270397,-0.2957471379460194,0.34548992886500307,0.7503336168258611,0.26729697935840724,0.6579225439725276,1.0,0.46136091774092564,-0.2944301431113036,0.6413539003360513,-0.1355460028170417,,,,0.281036276793064,,,,,-0.6546944997200791,-0.05898113731721415,0.710256847580305,0.40360718400241213,0.5466672543373094,0.3233165656972584,0.43405753644916667,0.5963370440847504,0.4067288402413867,0.6277028030226685,0.6277028030226685,0.38010182982770574,0.5591836295090484,0.4860885627179134,-0.4060759499154512,0.3656923352316469,0.4226065456246774,,,,,,
          Chitinimonadaceae,-0.4395161439313072,-0.06644306006680187,-0.35101592178917757,-0.4538265609460476,0.4657137771008188,0.04916969076407618,0.21689240014814942,0.28029946282031315,-0.2577515232406304,0.4292421251629331,0.7006098560468774,0.45899717271521845,0.5151677625092664,0.46136091774092564,1.0,-0.2758996082521725,0.6844311306169334,-0.050480962022534985,,,,0.12244138028919885,,,,,-0.5346258176351785,-0.04907136399280048,0.8087206338628818,0.5594704064331065,0.6495073254838785,0.36791785667876936,0.6094101939855339,0.6163310445229054,0.534203445102427,0.6978385688556481,0.6978385688556481,-0.06620591060652542,0.6963240109882217,0.4672075518792051,-0.2383251988835168,0.5407450557373363,0.5969728052031356,,,,,,
          Sulfuriferulaceae,0.24385498418257534,0.28376787665466585,0.19539711361260065,0.39588239298371036,-0.13004395887267725,-0.0035674461611771933,0.23796668962348289,0.38027412301359265,0.42282309290717446,0.1104120813332087,-0.254363896700157,0.07057710064299721,-0.3834448110729098,-0.2944301431113036,-0.2758996082521725,1.0,-0.08497555358413704,0.11246326361243127,,,,-0.09871620674387933,,,,,0.4554400493110793,-0.11804711637485928,-0.408669582926237,-0.20197981229540607,-0.3262448097973624,-0.01678778841936495,-0.357975712784015,-0.3538832577991664,-0.38258801909411544,-0.474012703731393,-0.474012703731393,0.021743881711789755,-0.1890956090468008,-0.08652981268458043,0.2676611016692328,-0.3544513330482091,-0.3441222473415993,,,,,,
          UKL13-2,-0.2368596800176423,-0.02843443749461891,-0.5047000908608563,-0.45143491653043094,0.5252209331845695,-0.16825125015830236,0.39089983588929456,0.30507855618263413,-0.2459716566409548,0.4579435364585118,0.7499455621763942,0.39139856385610367,0.5827040054846174,0.6413539003360513,0.6844311306169334,-0.08497555358413704,1.0,-0.19176231900834725,,,,0.17301002345217945,,,,,-0.5969661382945302,-0.1892935918929972,0.7449966650215681,0.5497464917913564,0.6099322851890071,0.29445617033782595,0.5121306519086372,0.5847340100522375,0.4661820222362758,0.6382742001071183,0.6382742001071183,0.22843272300494868,0.7017500709287638,0.5785487315811652,-0.4125667437318213,0.42848040821859007,0.4791199989105656,,,,,,
