,              Acidovorax_B defluvii,              Acidovorax_B carolinensis,              Acidovorax_B soli,              Acidovorax_B sp002176815,              Acidovorax_B delafieldii_A,              Acidovorax_B delafieldii_B,              Acidovorax_D temperans,              Acidovorax_D sp000302535,              Acidovorax_D sp002754495,              Acidovorax_D sp001411535,              Acidovorax_D sp001633105,              Acidovorax_D sp002754175,              Acidovorax_D kalamii,              Acidovorax_D sp000238595,              Acidovorax_D delafieldii_A,              Acidovorax_D sp003058055,              Acidovorax_D radicis,              Acidovorax_D sp001714725,              Acidovorax_D sp003060895,              Acidovorax_D sp002797445,              Acidovorax_D sp001464865,              Acidovorax_D sp001422735,              Acidovorax_D sp001424425,              Rhodoferax sp002251855,              Rhodoferax sp002943465,              Rhodoferax sp002256115,              Rhodoferax sp001795455,              Rhodoferax saidenbachensis,              Rhodoferax sp001770935,              Rhodoferax fermentans,              Rhodoferax ferrireducens_A,              Rhodoferax ferrireducens,              Rhodoferax antarcticus,              Rhodoferax sp002413825,              Rhodoferax sp002163715,              Rhodoferax sp002381045,              Rhodoferax sp001871515,              Rhodoferax sp001771065,              Rhodoferax sp002786915,              Rhodoferax sp002390825,              Rhodoferax sp002842265,              Rhodoferax sp002789915,              Rhodoferax sp002784245,              Rhodoferax sp002422455,              Rhodoferax sp003133245,              Hydrogenophaga pseudoflava,              Hydrogenophaga sp002001205,              Hydrogenophaga sp003509765,              Hydrogenophaga flava
              Acidovorax_B defluvii,1.0,0.9702242270716892,0.9059096306358696,0.9227831614968812,0.7445714069390433,0.8595733581227947,0.15375396883047399,0.2819253528219368,0.4776179925795006,-0.17728018313192345,0.5500634849149969,-0.0346015213844965,0.2008538502822345,0.7436276792511527,0.31117605565010314,0.25059146718210173,0.34627585673165745,0.6273198872282156,0.1647407982148174,0.590397615621351,0.6856367647605597,0.4262765316634793,0.4262765316634793,0.32967220304275346,0.4241146638733412,0.5851546682057994,0.32023788644649004,0.5036515512065858,0.47647693044445477,0.849789008366986,0.7941283954552123,0.5435614633340095,0.7959801485488,0.4071834981456757,-0.12293427689831062,0.551146067019248,0.6986878893719519,0.603661984932924,0.6736115645958589,0.24148454033258956,0.5980990441279784,0.5818016877282367,0.530856264753979,0.5954365537006874,0.7253103255378361,-0.0009355823777535322,0.30819851047990837,0.4493840444819543,-0.06244721237746908
              Acidovorax_B carolinensis,0.9702242270716892,1.0,0.9394592708161091,0.9572316279204174,0.8064882226238693,0.890577524998525,0.2329535929779276,0.37308881453081016,0.5097925089545065,-0.18666214010712778,0.5495726306214906,0.00900000486202489,0.2079946613749433,0.8308210355994546,0.3966431483007873,0.3284814641398895,0.3551951667197245,0.7291741204763963,0.17616401126149947,0.6228137225331827,0.730968153824656,0.48471180782520745,0.48471180782520745,0.3610609294375981,0.45522013045180415,0.6034280612306592,0.33622206690756945,0.541904309586345,0.5046587359475126,0.862328842856124,0.823979426109501,0.577269317016294,0.8331344377867057,0.46661754016924994,-0.11502003307328142,0.5968290927230898,0.7548654978372275,0.668272781582056,0.722920881589273,0.2651397702442511,0.6496721514000311,0.6522958453199769,0.5838544955528737,0.6070239614508649,0.7219099665438796,-0.0009327252496729322,0.2798004714529616,0.4501066670171107,-0.11661751632215671
              Acidovorax_B soli,0.9059096306358696,0.9394592708161091,1.0,0.889695035907913,0.8171068775959694,0.9184131271388599,0.4646959144768188,0.5861304782166245,0.528224154490372,-0.3235618159762362,0.3932441298749514,-0.046741638950746366,0.0475530833628245,0.884635278795442,0.5960079200877894,0.3258599322221793,0.20535235083405398,0.7901859620764581,0.050886539474047844,0.5481177661704857,0.7062093714251823,0.47705242917894286,0.47705242917894286,0.21743008269949834,0.2969662533097342,0.48430784523775067,0.15977934963164223,0.3822461983780081,0.3411888304488213,0.7858231892360564,0.7596431506398829,0.45145885186586593,0.7931001708002173,0.3472128898019439,-0.19489512649221732,0.43424694892917964,0.728974407710271,0.667487230939902,0.7295239408056878,0.16790804030433185,0.6255698438740939,0.6604005417837476,0.5724021359452824,0.5501940898153189,0.6407717664033296,-0.15471222902538567,0.09360036783762499,0.2705580475892156,-0.28871093819138977
              Acidovorax_B sp002176815,0.9227831614968812,0.9572316279204174,0.889695035907913,1.0,0.7695729732221908,0.8457986355776796,0.13504956045800035,0.2850166699538124,0.42070443088807596,-0.13738715846537072,0.5405908256909523,0.01819549462633851,0.23882004023635464,0.7792785839136159,0.29985077390423653,0.3484748272326595,0.4048782598039808,0.6844781193904458,0.20473783633462103,0.6354544440803294,0.6892636502931955,0.46892870547185506,0.46892870547185506,0.4038729146989203,0.5150822219173816,0.653714398027132,0.4029776050057703,0.6571594299950554,0.6219589093954487,0.8810232169594542,0.8375204030572881,0.7147206158268617,0.8420181795175439,0.5832471070083793,-0.1337386699423799,0.6942055291237031,0.7181919016009405,0.6558555959597382,0.7090385976323117,0.26619908303862166,0.6576137633173358,0.6428402653116825,0.5959548330463571,0.6343583319150219,0.7510506039550197,0.0679689730340698,0.3704181647555408,0.5535616695516753,-0.022525804514681468
              Acidovorax_B delafieldii_A,0.7445714069390433,0.8064882226238693,0.8171068775959694,0.7695729732221908,1.0,0.836228413559587,0.34034438463578215,0.5323590268212012,0.58077703162613,-0.007619313993862464,0.502404175729562,0.20172913520496344,0.21271134814408166,0.7803673992333168,0.5236554261902685,0.4337600780507984,0.3966432105540801,0.7376656553099991,0.23425892331198564,0.6498362374403583,0.7732580492266974,0.7408609113199426,0.7408609113199426,0.3241380405079425,0.3928865156318549,0.5095284982739043,0.2826141827663347,0.4330670929350899,0.4234986839968166,0.7676084283905966,0.798438055589586,0.42286289824569406,0.8189840409989816,0.4628479569441363,0.021327765249282406,0.5048812476886048,0.8163643304683011,0.7939234156076987,0.7909221811310067,0.34665001343894136,0.7228220421181492,0.7862554727129807,0.6958013351657271,0.5273167317503797,0.6105350501833369,-0.018287256238045845,0.0953211565124866,0.21621529434942247,-0.17855106866430784
              Acidovorax_B delafieldii_B,0.8595733581227947,0.890577524998525,0.9184131271388599,0.8457986355776796,0.836228413559587,1.0,0.32493825561911427,0.41796003681885,0.4220318974121567,-0.3517265210662274,0.3432062939686818,-0.15460129876470158,-0.01416199165591261,0.7472393158756495,0.46770200821578506,0.16210863705367512,0.12129076102028129,0.6462604606428224,-0.020923825733403435,0.45999133114944224,0.6211845346791567,0.4077108990293759,0.4077108990293759,0.2175068494594384,0.3010238512392907,0.49270470342562706,0.17330452618121225,0.3783939259506283,0.3703750198411097,0.802824473686205,0.7713914118024591,0.4776584824760779,0.8234759378467118,0.3748811785895502,-0.20645724983055516,0.42674545906176786,0.8007897418854448,0.7212564014483188,0.8121788259420855,0.13850261842670075,0.6451012084740856,0.6998463142358108,0.594905572655381,0.44508928808986215,0.6394890336343692,-0.1655537854978327,0.0852047510803656,0.2524418759261219,-0.27785263298805735
              Acidovorax_D temperans,0.15375396883047399,0.2329535929779276,0.4646959144768188,0.13504956045800035,0.34034438463578215,0.32493825561911427,1.0,0.907240661676119,0.3324226403615842,-0.42050047237265187,-0.20406447211715392,-0.0385192448952476,-0.3334378189949597,0.6083396741193884,0.9672690665359209,0.2676888369644532,-0.224668737897738,0.6257335355980331,-0.25197187172953084,-0.029793828208451452,0.3377499798536294,0.2636087136270471,0.2636087136270471,-0.3282159506969374,-0.3527387343006804,-0.13334758528912588,-0.4466119917057479,-0.3573981709289934,-0.36699036347541747,0.08686422329599745,0.13566253904314624,-0.3335409849836436,0.1259294590298222,-0.23733936246271084,-0.2540256284471057,-0.16454733620035084,0.20000679027992002,0.18250416692830224,0.26355351518495707,-0.1525196370314851,0.12428404735265942,0.1890202653653574,0.1420211071088428,0.13908481747122234,-0.037168891345521475,-0.4420759202905081,-0.4476945019864987,-0.32136662071530686,-0.5909741971983946
              Acidovorax_D sp000302535,0.2819253528219368,0.37308881453081016,0.5861304782166245,0.2850166699538124,0.5323590268212012,0.41796003681885,0.907240661676119,1.0,0.5162910469095575,-0.26708527281160516,0.0510602568723387,0.17274053050643173,-0.10616195678483731,0.7238843343501347,0.9228739664408464,0.4791012647103564,-0.014915621835637919,0.7481167026740368,-0.02106233275994848,0.20352033876396108,0.4872015895691578,0.44974183097066545,0.44974183097066545,-0.09957857313241533,-0.12145879180804826,-0.004161635452247902,-0.21872227374470718,-0.15705018404660148,-0.20376455613978992,0.20840663491622147,0.29600989126960925,-0.18416230343464624,0.2963930988289878,-0.0787181796354544,-0.07997941731564509,-0.049464141723150015,0.3649783281015808,0.3403694931755722,0.3918992657268678,0.04799146353381636,0.2832826947055652,0.35078293998146154,0.29699077009202746,0.20724365547961282,0.09491348357309744,-0.33428360234518223,-0.3743827621731936,-0.22797697671888742,-0.5324805270285108
              Acidovorax_D sp002754495,0.4776179925795006,0.5097925089545065,0.528224154490372,0.42070443088807596,0.58077703162613,0.4220318974121567,0.3324226403615842,0.5162910469095575,1.0,0.2600522944698409,0.7368376509358464,0.6567020187656791,0.6179925225291215,0.603145704863419,0.4480829327572125,0.6474498904315789,0.5437758327404593,0.6264943984361433,0.6481054263422515,0.5566824397208857,0.7210633887320146,0.5930794785657785,0.5930794785657785,0.606371851948495,0.5130942269410642,0.2522389448879284,0.46546647990225404,0.2671817651097717,0.21416807415532774,0.43650696617974616,0.43529124450511214,0.06906446153650804,0.46008998670079193,0.0956329792474019,0.6622265141435396,0.1911852567479791,0.46425950497523255,0.4484590336493414,0.4707262662919465,0.7739129521253277,0.4210295128675866,0.450806963488438,0.3971168333963473,0.2942489841097695,0.29852154676987885,-0.10986167131202601,-0.055988127253581044,-0.02361680883427117,-0.2059572754974329
              Acidovorax_D sp001411535,-0.17728018313192345,-0.18666214010712778,-0.3235618159762362,-0.13738715846537072,-0.007619313993862464,-0.3517265210662274,-0.42050047237265187,-0.26708527281160516,0.2600522944698409,1.0,0.5508332375874674,0.8285089251609795,0.7855386125081302,-0.1269891580931557,-0.32981459346711917,0.5661972644511292,0.8058137665417846,-0.07765895188963184,0.800165546951801,0.4774877102571308,0.24976098749493197,0.4048944532817481,0.4048944532817481,0.49117189065516365,0.44231261567954316,0.12087381173669265,0.5465445127830482,0.3305091524054368,0.3497196368770034,-0.10088548038210861,-0.09067226360411865,0.062012180676477374,-0.04684353431850628,0.1791849626393829,0.6483036333106172,0.16988391334455516,-0.009242353091404323,0.007484945609484107,-0.022285158244729864,0.5858423457453413,0.053614183389866746,0.013908506494168986,0.046053355579282834,0.048546031958444646,-0.1026551101985197,0.5244588473594631,0.3233925692116858,0.17552512320315317,0.5864602873521639
              Acidovorax_D sp001633105,0.5500634849149969,0.5495726306214906,0.3932441298749514,0.5405908256909523,0.502404175729562,0.3432062939686818,-0.20406447211715392,0.0510602568723387,0.7368376509358464,0.5508332375874674,1.0,0.7139843325221715,0.9029358512112716,0.43504975231336884,-0.039517363699637056,0.6542462634239387,0.8115354700893238,0.46839173537923184,0.8542045730536889,0.7432376024768904,0.6745551819126502,0.5588269599787783,0.5588269599787783,0.8199283492427563,0.7831925175191927,0.5248935227135167,0.7798325728379769,0.6289392967884784,0.5752704947325954,0.5308178626751122,0.5268022213537747,0.4382567807562083,0.5132711555728344,0.4555520078314607,0.6752556192569964,0.5586901537340871,0.4938772365689614,0.4194236799179547,0.43926260639407066,0.8312777895401237,0.4388940200652026,0.3944087129303383,0.38364908434461803,0.3344290454431973,0.4338050389431647,0.2863059832064214,0.3999892961232223,0.4014495027096616,0.2743358769734034
              Acidovorax_D sp002754175,-0.0346015213844965,0.00900000486202489,-0.046741638950746366,0.01819549462633851,0.20172913520496344,-0.15460129876470158,-0.0385192448952476,0.17274053050643173,0.6567020187656791,0.8285089251609795,0.7139843325221715,1.0,0.8753614091072519,0.2142267212117223,0.05277928112095482,0.8382146175355204,0.7965143941166595,0.319030765234263,0.9006025358021431,0.5882113083565319,0.4759506725798651,0.5474157108606142,0.5474157108606142,0.6010973554858918,0.49616828503010024,0.13691534068517136,0.5518876015183075,0.2990984230860169,0.2580257137655836,0.005939100256520032,0.040367798793815156,0.01910519410101175,0.07818714392534645,0.19245245749610312,0.8120103410967762,0.20697915488847496,0.12807281488367986,0.1346952672387606,0.12773198039726283,0.7710592954787839,0.1618522843183202,0.14152562531075988,0.15654325323604776,0.07326677378743543,-0.03476364614084979,0.2722003695077039,0.11903056110925841,0.053571801666123214,0.25456285954047647
              Acidovorax_D kalamii,0.2008538502822345,0.2079946613749433,0.0475530833628245,0.23882004023635464,0.21271134814408166,-0.01416199165591261,-0.3334378189949597,-0.10616195678483731,0.6179925225291215,0.7855386125081302,0.9029358512112716,0.8753614091072519,1.0,0.18654975317863842,-0.20879824162990884,0.7141098061192264,0.8671376730088076,0.2626522690718515,0.961678380167194,0.6671633816089277,0.4857225479047198,0.466784806841599,0.466784806841599,0.8010569211919488,0.7335561413054371,0.36207894868916307,0.7824778056536372,0.5537219083433668,0.5095573299304982,0.22730224493229115,0.22334542539737673,0.31112928376323284,0.23332618704361055,0.365282882998452,0.8124225402656224,0.417158103653363,0.22786195857923164,0.18880742897538097,0.19831971899571882,0.8434463025104052,0.2265212406573995,0.17472252636460883,0.1917916072585763,0.16430146734018683,0.1864028668667969,0.40195451942045796,0.4010221098078125,0.3407268102711331,0.44009909233328376
              Acidovorax_D sp000238595,0.7436276792511527,0.8308210355994546,0.884635278795442,0.7792785839136159,0.7803673992333168,0.7472393158756495,0.6083396741193884,0.7238843343501347,0.603145704863419,-0.1269891580931557,0.43504975231336884,0.2142267212117223,0.18654975317863842,1.0,0.7273821184353498,0.5911755140753385,0.3355036598348042,0.9244574795229573,0.20396490064646988,0.6021226831272939,0.7661297137079416,0.6208955439396728,0.6208955439396728,0.2063002790971804,0.24526584424665437,0.37133875112467635,0.12152618022312937,0.2997743713571751,0.24684787173417394,0.6196784677161478,0.6332803470341407,0.30727715657814064,0.64358350275187,0.3342902458923711,-0.0781194154479033,0.4093343224307478,0.630527454440345,0.5809493442647863,0.6542321270586878,0.21939023818113654,0.5540540220996426,0.5834113959839844,0.5096203445035477,0.4425871107465977,0.4461267046065755,-0.16884393306485554,-0.008799360861357668,0.1945758863924553,-0.319586350116383
              Acidovorax_D delafieldii_A,0.31117605565010314,0.3966431483007873,0.5960079200877894,0.29985077390423653,0.5236554261902685,0.46770200821578506,0.9672690665359209,0.9228739664408464,0.4480829327572125,-0.32981459346711917,-0.039517363699637056,0.05277928112095482,-0.20879824162990884,0.7273821184353498,1.0,0.3760503521487051,-0.05511785421150668,0.7353592729075608,-0.12364259759913808,0.13830299640026286,0.5280063901681091,0.41508173013025135,0.41508173013025135,-0.17784453742537412,-0.1859528888206716,0.023357963981838557,-0.2948138649220674,-0.19186702703136094,-0.19871917738063966,0.2693714936302487,0.3131749553498286,-0.19430437679927615,0.3120131792893627,-0.12075325988610955,-0.19559092318480772,-0.010231636968432649,0.3681046805472133,0.33903220360115244,0.42653888737938744,-0.013425754236179917,0.27522936476372795,0.34126496473018786,0.28338598123184794,0.2836926446442354,0.11558373051130043,-0.34945926172206565,-0.33012021368789296,-0.18437971744808232,-0.5274442222409038
              Acidovorax_D sp003058055,0.25059146718210173,0.3284814641398895,0.3258599322221793,0.3484748272326595,0.4337600780507984,0.16210863705367512,0.2676888369644532,0.4791012647103564,0.6474498904315789,0.5661972644511292,0.6542462634239387,0.8382146175355204,0.7141098061192264,0.5911755140753385,0.3760503521487051,1.0,0.7722963085396967,0.6516756337659154,0.7570735436864026,0.7224950146209115,0.6548205045316217,0.6625982321619641,0.6625982321619641,0.4777415079831384,0.440757003548901,0.2650603676085396,0.43499851511918375,0.3705834353691769,0.3003618716406712,0.21298427585171065,0.24654916892135198,0.18721353462863255,0.30181585427465263,0.32152944847731124,0.4714793041911837,0.37341387215804217,0.3415453226541353,0.31296214428419156,0.35086068892404665,0.5790044375196716,0.31168403031315595,0.31800924763791855,0.2946010189048967,0.24473326371715334,0.12888393868942144,0.22470512905833065,0.17386781198618748,0.23509577309568386,0.15677736419305516
              Acidovorax_D radicis,0.34627585673165745,0.3551951667197245,0.20535235083405398,0.4048782598039808,0.3966432105540801,0.12129076102028129,-0.224668737897738,-0.014915621835637919,0.5437758327404593,0.8058137665417846,0.8115354700893238,0.7965143941166595,0.8671376730088076,0.3355036598348042,-0.05511785421150668,0.7722963085396967,1.0,0.356601330628909,0.8750447761722506,0.7795101789780372,0.6746848596950752,0.6517229878371658,0.6517229878371658,0.7139623635804608,0.7233098063400978,0.48233986450919025,0.7467464540273572,0.6396700533501332,0.6215415304883884,0.393539342186644,0.3891792672270107,0.40907361235567186,0.4186184251710359,0.4266545116020865,0.5671191568534593,0.5360748881373715,0.3797622405520567,0.3639007539436292,0.3766759547326172,0.7389786456283435,0.40848267617765144,0.3632770237666885,0.37720618050999866,0.44364006080274,0.3252749065093439,0.5239502912024756,0.5323035091797441,0.5171718241153954,0.5241568379647308
              Acidovorax_D sp001714725,0.6273198872282156,0.7291741204763963,0.7901859620764581,0.6844781193904458,0.7376656553099991,0.6462604606428224,0.6257335355980331,0.7481167026740368,0.6264943984361433,-0.07765895188963184,0.46839173537923184,0.319030765234263,0.2626522690718515,0.9244574795229573,0.7353592729075608,0.6516756337659154,0.356601330628909,1.0,0.258952983360227,0.628979670652061,0.7707754953821695,0.6436876996509417,0.6436876996509417,0.28267383845216776,0.30626005317601135,0.4114428722690497,0.19416087035652757,0.29652936068125063,0.26158979825847123,0.61186798080903,0.6412055357963994,0.2680299720124333,0.6347507769034473,0.40119579876079253,0.027441072840768042,0.45738198956018544,0.619493003904927,0.6106770446282266,0.6546773324620421,0.3161028355967453,0.5702221477266326,0.6054866875489578,0.5286574843127823,0.4659834791184381,0.3936905531430881,-0.08946272867226615,0.063086727424095,0.2299833476231303,-0.23952491577979731
              Acidovorax_D sp003060895,0.1647407982148174,0.17616401126149947,0.050886539474047844,0.20473783633462103,0.23425892331198564,-0.020923825733403435,-0.25197187172953084,-0.02106233275994848,0.6481054263422515,0.800165546951801,0.8542045730536889,0.9006025358021431,0.961678380167194,0.20396490064646988,-0.12364259759913808,0.7570735436864026,0.8750447761722506,0.258952983360227,1.0,0.6390958510892004,0.5076826017301729,0.5005416843817624,0.5005416843817624,0.7590940479818388,0.6840364394497908,0.2924494926957277,0.7225744777042993,0.4931099776120451,0.44896007743006,0.19965707040573752,0.19772925605473438,0.2640724327154424,0.2229721172803,0.2796338873017597,0.8177273322358621,0.35118525354208746,0.2167884929991089,0.18389802739018665,0.20108940081650759,0.838175022627308,0.2280815861282758,0.1853619247253878,0.20101867272035287,0.16460056837828424,0.18003641295110132,0.39206388323717567,0.3391119356719555,0.2908149789969361,0.39455898141542567
              Acidovorax_D sp002797445,0.590397615621351,0.6228137225331827,0.5481177661704857,0.6354544440803294,0.6498362374403583,0.45999133114944224,-0.029793828208451452,0.20352033876396108,0.5566824397208857,0.4774877102571308,0.7432376024768904,0.5882113083565319,0.6671633816089277,0.6021226831272939,0.13830299640026286,0.7224950146209115,0.7795101789780372,0.628979670652061,0.6390958510892004,1.0,0.7155892021384642,0.7033965017260885,0.7033965017260885,0.5569858190638102,0.6126441640614233,0.6026246611537284,0.5848074140011656,0.6819156611549362,0.6555034016952717,0.5651602524797255,0.5708108015448056,0.5852775132449982,0.6200078596759703,0.5951853626559819,0.3007087943017775,0.6356239921987538,0.5803866708330184,0.5504170111443312,0.5740368108951818,0.5575615919595001,0.5397204576350019,0.5480265539217676,0.5098117952461533,0.48976767321009,0.5100362779853944,0.3721589414247174,0.45238071227883375,0.4435810290107032,0.3546008548916676
              Acidovorax_D sp001464865,0.6856367647605597,0.730968153824656,0.7062093714251823,0.6892636502931955,0.7732580492266974,0.6211845346791567,0.3377499798536294,0.4872015895691578,0.7210633887320146,0.24976098749493197,0.6745551819126502,0.4759506725798651,0.4857225479047198,0.7661297137079416,0.5280063901681091,0.6548205045316217,0.6746848596950752,0.7707754953821695,0.5076826017301729,0.7155892021384642,1.0,0.7427291866746238,0.7427291866746238,0.5494213903771038,0.5746259389926858,0.5661720758195131,0.48885624914933623,0.5052720915720708,0.48337789630120825,0.7154505668391432,0.7301260179966249,0.3687362957185512,0.7223177331396551,0.3812701784140541,0.2589709424867155,0.5605346695852377,0.6933192619294779,0.6575444457079239,0.7192720828228135,0.6107593204056271,0.660697547341245,0.6662816784174366,0.6307726101750109,0.6384887716958471,0.5309997202363417,0.16846137907771036,0.31425833985936186,0.398371745119642,0.009985898418445606
              Acidovorax_D sp001422735,0.4262765316634793,0.48471180782520745,0.47705242917894286,0.46892870547185506,0.7408609113199426,0.4077108990293759,0.2636087136270471,0.44974183097066545,0.5930794785657785,0.4048944532817481,0.5588269599787783,0.5474157108606142,0.466784806841599,0.6208955439396728,0.41508173013025135,0.6625982321619641,0.6517229878371658,0.6436876996509417,0.5005416843817624,0.7033965017260885,0.7427291866746238,1.0,1.0,0.42347798038940226,0.45849353299822276,0.44398184354760617,0.4055642431199265,0.41763710791667247,0.36642556079347777,0.48664006195811005,0.5603255085357245,0.2529067109232324,0.5547265972381515,0.32437393788757934,0.272846207795642,0.418145718643353,0.5399788453480141,0.5122838400106371,0.5982895771756902,0.4962485195957381,0.5239814914209453,0.5396220561035907,0.49898936545090006,0.4245903269250915,0.37281005687398416,0.1929550580661764,0.16809162566857447,0.21180281215842814,0.10730792114174864
              Acidovorax_D sp001424425,0.4262765316634793,0.48471180782520745,0.47705242917894286,0.46892870547185506,0.7408609113199426,0.4077108990293759,0.2636087136270471,0.44974183097066545,0.5930794785657785,0.4048944532817481,0.5588269599787783,0.5474157108606142,0.466784806841599,0.6208955439396728,0.41508173013025135,0.6625982321619641,0.6517229878371658,0.6436876996509417,0.5005416843817624,0.7033965017260885,0.7427291866746238,1.0,1.0,0.42347798038940226,0.45849353299822276,0.44398184354760617,0.4055642431199265,0.41763710791667247,0.36642556079347777,0.48664006195811005,0.5603255085357245,0.2529067109232324,0.5547265972381515,0.32437393788757934,0.272846207795642,0.418145718643353,0.5399788453480141,0.5122838400106371,0.5982895771756902,0.4962485195957381,0.5239814914209453,0.5396220561035907,0.49898936545090006,0.4245903269250915,0.37281005687398416,0.1929550580661764,0.16809162566857447,0.21180281215842814,0.10730792114174864
